exp_id,mode,pillar,seed,model_id,prompt_id,collapse_run,collapse_reason,core_collapse_run,core_collapse_reason,budget_exhausted,collapse_core,collapse_core_reason,stop_aux,stop_aux_reason,intervene_bin,n_tokens_total,n_interventions,intervene_density,H_pre,runtime_sec,extra_tokens_due_to_intervention
vNEXT-OLLAMA-7B-SMOKE-V2,baseline,ETH,0,UNKNOWN,0,1,REP,1,REP,0,1,REP,0,NONE,0,250,0,0.0,,14.763884782791138,0.0
vNEXT-OLLAMA-7B-SMOKE-V2,baseline,ETH,1,UNKNOWN,1,0,NONE,0,NONE,0,0,NONE,0,NONE,0,265,0,0.0,,15.946134090423584,0.0
vNEXT-OLLAMA-7B-SMOKE-V2,baseline,ETH,2,UNKNOWN,2,1,REP,1,REP,0,1,REP,0,NONE,0,102,0,0.0,,5.292565822601318,0.0
vNEXT-OLLAMA-7B-SMOKE-V2,controlled,ETH,0,UNKNOWN,0,0,NONE,0,NONE,0,0,NONE,0,NONE,1,257,1,0.0038910505836575876,,19.924823999404907,24.0
vNEXT-OLLAMA-7B-SMOKE-V2,controlled,ETH,1,UNKNOWN,1,0,NONE,0,NONE,0,0,NONE,0,NONE,0,265,0,0.0,,15.94016408920288,0.0
vNEXT-OLLAMA-7B-SMOKE-V2,controlled,ETH,2,UNKNOWN,2,0,NONE,0,NONE,0,0,NONE,0,NONE,1,193,10,0.05181347150259067,,42.10268783569336,246.0
vNEXT-OLLAMA-7B-SMOKE-V2,baseline,HUM,0,UNKNOWN,0,1,REP,1,REP,0,1,REP,0,NONE,0,147,0,0.0,,9.054619073867798,0.0
vNEXT-OLLAMA-7B-SMOKE-V2,baseline,HUM,1,UNKNOWN,1,1,REP,1,REP,0,1,REP,0,NONE,0,156,0,0.0,,9.433320045471191,0.0
vNEXT-OLLAMA-7B-SMOKE-V2,baseline,HUM,2,UNKNOWN,2,1,REP,1,REP,0,1,REP,0,NONE,0,72,0,0.0,,5.40671706199646,0.0
vNEXT-OLLAMA-7B-SMOKE-V2,controlled,HUM,0,UNKNOWN,0,0,NONE,0,NONE,0,0,NONE,0,NONE,1,168,9,0.05357142857142857,,41.63972878456116,204.0
vNEXT-OLLAMA-7B-SMOKE-V2,controlled,HUM,1,UNKNOWN,1,0,NONE,0,NONE,0,0,NONE,0,NONE,1,170,9,0.052941176470588235,,41.84993100166321,220.0
vNEXT-OLLAMA-7B-SMOKE-V2,controlled,HUM,2,UNKNOWN,2,0,NONE,0,NONE,0,0,NONE,0,NONE,1,132,10,0.07575757575757576,,42.194175004959106,180.0
vNEXT-OLLAMA-7B-SMOKE-V2,baseline,META,0,UNKNOWN,0,1,REP,1,REP,0,1,REP,0,NONE,0,183,0,0.0,,10.608161926269531,0.0
vNEXT-OLLAMA-7B-SMOKE-V2,baseline,META,1,UNKNOWN,1,1,REP,1,REP,0,1,REP,0,NONE,0,128,0,0.0,,8.056536197662354,0.0
vNEXT-OLLAMA-7B-SMOKE-V2,baseline,META,2,UNKNOWN,2,1,REP,1,REP,0,1,REP,0,NONE,0,192,0,0.0,,12.009042024612427,0.0
vNEXT-OLLAMA-7B-SMOKE-V2,controlled,META,0,UNKNOWN,0,0,NONE,0,NONE,0,0,NONE,0,NONE,1,152,9,0.05921052631578947,,41.085015058517456,216.0
vNEXT-OLLAMA-7B-SMOKE-V2,controlled,META,1,UNKNOWN,1,1,TOO_SHORT,0,NONE,0,0,NONE,1,TOO_SHORT,1,146,8,0.0547945205479452,,35.052714824676514,125.0
vNEXT-OLLAMA-7B-SMOKE-V2,controlled,META,2,UNKNOWN,2,0,NONE,0,NONE,0,0,NONE,0,NONE,1,189,8,0.042328042328042326,,42.22115206718445,165.0
vNEXT-OLLAMA-7B-SMOKE-V2,baseline,STEM,0,UNKNOWN,0,1,TOO_SHORT,0,NONE,0,0,NONE,1,TOO_SHORT,0,26,0,0.0,,3.4570178985595703,0.0
vNEXT-OLLAMA-7B-SMOKE-V2,baseline,STEM,1,UNKNOWN,1,1,TOO_SHORT,0,NONE,0,0,NONE,1,TOO_SHORT,0,14,0,0.0,,5.383863925933838,0.0
vNEXT-OLLAMA-7B-SMOKE-V2,baseline,STEM,2,UNKNOWN,2,1,TOO_SHORT,0,NONE,0,0,NONE,1,TOO_SHORT,0,56,0,0.0,,5.268324136734009,0.0
vNEXT-OLLAMA-7B-SMOKE-V2,controlled,STEM,0,UNKNOWN,0,0,NONE,0,NONE,0,0,NONE,0,NONE,1,81,10,0.12345679012345678,,40.21367692947388,104.0
vNEXT-OLLAMA-7B-SMOKE-V2,controlled,STEM,1,UNKNOWN,1,0,NONE,0,NONE,0,0,NONE,0,NONE,1,83,10,0.12048192771084337,,40.62287187576294,94.0
vNEXT-OLLAMA-7B-SMOKE-V2,controlled,STEM,2,UNKNOWN,2,0,NONE,0,NONE,0,0,NONE,0,NONE,1,113,10,0.08849557522123894,,41.96858477592468,146.0
vNEXT-OLLAMA-7B-SMOKE-V2,baseline,TEMP,0,UNKNOWN,0,1,REP,1,REP,0,1,REP,0,NONE,0,146,0,0.0,,8.071243047714233,0.0
vNEXT-OLLAMA-7B-SMOKE-V2,baseline,TEMP,1,UNKNOWN,1,1,TOO_SHORT,0,NONE,0,0,NONE,1,TOO_SHORT,0,48,0,0.0,,5.386905193328857,0.0
vNEXT-OLLAMA-7B-SMOKE-V2,baseline,TEMP,2,UNKNOWN,2,1,REP,1,REP,0,1,REP,0,NONE,0,78,0,0.0,,5.389756917953491,0.0
vNEXT-OLLAMA-7B-SMOKE-V2,controlled,TEMP,0,UNKNOWN,0,0,NONE,0,NONE,0,0,NONE,0,NONE,1,198,9,0.045454545454545456,,42.285351276397705,222.0
vNEXT-OLLAMA-7B-SMOKE-V2,controlled,TEMP,1,UNKNOWN,1,0,NONE,0,NONE,0,0,NONE,0,NONE,1,144,10,0.06944444444444445,,42.45352482795715,215.0
vNEXT-OLLAMA-7B-SMOKE-V2,controlled,TEMP,2,UNKNOWN,2,0,NONE,0,NONE,0,0,NONE,0,NONE,1,171,10,0.05847953216374269,,42.2151837348938,227.0
